state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
23,424,district,tikamgarh,total,1445166,760355,684811,227564,747940,697226,655318,402776,252542,789848
23,424,district,tikamgarh,rural,1195293,629477,565816,193219,586993,608300,566426,338038,228388,628867
23,424,district,tikamgarh,urban,249873,130878,118995,34345,160947,88926,88892,64738,24154,160981
18,309,district,tinsukia,total,1327929,680231,647698,181826,798322,529607,557196,366623,190573,770733
18,309,district,tinsukia,rural,1063186,541395,521791,155228,590609,472577,460778,286060,174718,602408
18,309,district,tinsukia,urban,264743,138836,125907,26598,207713,57030,96418,80563,15855,168325
12,254,district,tirap,total,111975,57604,54371,20045,47974,64001,50169,27545,22624,61806
12,254,district,tirap,rural,91165,46185,44980,17398,33299,57866,42759,21539,21220,48406
12,254,district,tirap,urban,20810,11419,9391,2647,14675,6135,7410,6006,1404,13400
33,614,district,tiruchirappalli,total,2722290,1352284,1370006,272456,2038981,683309,1213979,789206,424773,1508311
33,614,district,tiruchirappalli,rural,1384257,688552,695705,145260,950242,434015,718141,413096,305045,666116
33,614,district,tiruchirappalli,urban,1338033,663732,674301,127196,1088739,249294,495838,376110,119728,842195
33,628,district,tirunelveli,total,3077233,1520912,1556321,321687,2273457,803776,1436454,876175,560279,1640779
33,628,district,tirunelveli,rural,1557004,768728,788276,167364,1100112,456892,793130,450874,342256,763874
33,628,district,tirunelveli,urban,1520229,752184,768045,154323,1173345,346884,643324,425301,218023,876905
33,633,district,tiruppur,total,2479052,1246159,1232893,241351,1760566,718486,1266137,819783,446354,1212915
33,633,district,tiruppur,rural,957941,479309,478632,79787,611317,346624,548558,322746,225812,409383
33,633,district,tiruppur,urban,1521111,766850,754261,161564,1149249,371862,717579,497037,220542,803532
33,606,district,tiruvannamalai,total,2464875,1235889,1228986,272569,1626813,838062,1238177,738995,499182,1226698
33,606,district,tiruvannamalai,rural,1969930,989726,980204,220384,1253098,716832,1048646,599938,448708,921284
33,606,district,tiruvannamalai,urban,494945,246163,248782,52185,373715,121230,189531,139057,50474,305414
8,120,district,tonk,total,1421326,728136,693190,204038,749659,671667,649161,371848,277313,772165
8,120,district,tonk,rural,1103603,568045,535558,161187,546702,556901,543041,292430,250611,560562
8,120,district,tonk,urban,317723,160091,157632,42851,202957,114766,106120,79418,26702,211603
16,0,state,tripura,total,3673917,1874376,1799541,458014,2804783,869134,1469521,1045326,424195,2204396
16,0,state,tripura,rural,2712464,1387173,1325291,365309,1992773,719691,1116076,767767,348309,1596388
16,0,state,tripura,urban,961453,487203,474250,92705,812010,149443,353445,277559,75886,608008
13,267,district,tuensang,total,196596,101933,94663,35790,117511,79085,98154,52931,45223,98442
13,267,district,tuensang,rural,159822,82462,77360,30061,88952,70870,84747,44370,40377,75075
13,267,district,tuensang,urban,36774,19471,17303,5729,28559,8215,13407,8561,4846,23367
29,571,district,tumkur,total,2678980,1350594,1328386,265742,1813391,865589,1354646,837512,517134,1324334
29,571,district,tumkur,rural,2079902,1048710,1031192,203685,1344438,735464,1120199,665024,455175,959703
29,571,district,tumkur,urban,599078,301884,297194,62057,468953,130125,234447,172488,61959,364631
8,130,district,udaipur,total,3068420,1566801,1501619,508550,1582629,1485791,1365783,835839,529944,1702637
8,130,district,udaipur,rural,2459994,1251316,1208678,441482,1108846,1351148,1156103,666719,489384,1303891
8,130,district,udaipur,urban,608426,315485,292941,67068,473783,134643,209680,169120,40560,398746
18,326,district,udalguri,total,831668,421617,410051,113274,469926,361742,345030,230690,114340,486638
18,326,district,udalguri,rural,794094,402442,391652,109653,441017,353077,331317,219502,111815,462777
18,326,district,udalguri,urban,37574,19175,18399,3621,28909,8665,13713,11188,2525,23861
1,19,district,udhampur,total,554985,296784,258201,84332,322354,232631,243672,163845,79827,311313
1,19,district,udhampur,rural,446777,232974,213803,73293,236882,209895,197301,123738,73563,249476
1,19,district,udhampur,urban,108208,63810,44398,11039,85472,22736,46371,40107,6264,61837
5,67,district,udhamsinghnagar,total,1648902,858783,790119,229162,1037839,611063,591458,444578,146880,1057444
5,67,district,udhamsinghnagar,rural,1062142,550470,511672,149886,652717,409425,406129,288619,117510,656013
5,67,district,udhamsinghnagar,urban,586760,308313,278447,79276,385122,201638,185329,155959,29370,401431
29,569,district,udupi,total,1177361,562131,615230,103160,926429,250932,513241,335399,177842,664120
29,569,district,udupi,rural,843300,398847,444453,74293,645246,198054,376475,239467,137008,466825
29,569,district,udupi,urban,334061,163284,170777,28867,281183,52878,136766,95932,40834,197295
23,435,district,ujjain,total,1986864,1016289,970575,271306,1240990,745874,897442,569425,328017,1089422
23,435,district,ujjain,rural,1207651,616353,591298,179161,671383,536268,622858,355469,267389,584793
23,435,district,ujjain,urban,779213,399936,379277,92145,569607,209606,274584,213956,60628,504629
14,279,district,ukhrul,total,183998,94718,89280,24413,129829,54169,87929,46533,41396,96069
14,279,district,ukhrul,rural,156811,80801,76010,21050,108644,48167,76924,40383,36541,79887
14,279,district,ukhrul,urban,27187,13917,13270,3363,21185,6002,11005,6150,4855,16182
23,431,district,umaria,total,644758,330674,314084,103414,356672,288086,289691,175698,113993,355067
23,431,district,umaria,rural,534214,273064,261150,89929,279642,254572,253843,147246,106597,280371
23,431,district,umaria,urban,110544,57610,52934,13485,77030,33514,35848,28452,7396,74696
2,29,district,una,total,521173,263692,257481,59231,399715,121458,215346,141612,73734,305827
2,29,district,una,rural,476260,240254,236006,54404,364981,111279,199505,129175,70330,276755
2,29,district,una,urban,44913,23438,21475,4827,34734,10179,15841,12437,3404,29072
9,156,district,unnao,total,3108367,1630087,1478280,435915,1773584,1334783,1124744,851014,273730,1983623
9,156,district,unnao,rural,2576721,1351897,1224824,370948,1423118,1153603,960503,711552,248951,1616218
9,156,district,unnao,urban,531646,278190,253456,64967,350466,181180,164241,139462,24779,367405
12,252,district,uppersiang,total,35320,18699,16621,4988,18195,17125,17644,9968,7676,17676
12,252,district,uppersiang,rural,28780,15335,13445,4103,13718,15062,14913,8275,6638,13867
12,252,district,uppersiang,urban,6540,3364,3176,885,4477,2063,2731,1693,1038,3809
12,249,district,uppersubansiri,total,83448,41758,41690,12475,45278,38170,33370,17898,15472,50078
12,249,district,uppersubansiri,rural,70043,34840,35203,10670,36059,33984,29214,14957,14257,40829
12,249,district,uppersubansiri,urban,13405,6918,6487,1805,9219,4186,4156,2941,1215,9249
29,563,district,uttarakannada,total,1437169,726256,710913,150115,1081906,355263,608526,430565,177961,828643
29,563,district,uttarakannada,rural,1018188,514910,503278,106741,741129,277059,463305,315493,147812,554883
29,563,district,uttarakannada,urban,418981,211346,207635,43374,340777,78204,145221,115072,30149,273760
5,0,state,uttarakhand,total,10086292,5137773,4948519,1355814,6880953,3205339,3872275,2551921,1320354,6214017
5,0,state,uttarakhand,rural,7036954,3519042,3517912,990776,4614050,2422904,2885533,1726674,1158859,4151421
5,0,state,uttarakhand,urban,3049338,1618731,1430607,365038,2266903,782435,986742,825247,161495,2062596
22,413,district,uttarbastarkanker,total,748941,373338,375603,100099,456042,292899,389359,217513,171846,359582
22,413,district,uttarbastarkanker,rural,672180,335149,337031,91441,396859,275321,359746,196586,163160,312434
22,413,district,uttarbastarkanker,urban,76761,38189,38572,8658,59183,17578,29613,20927,8686,47148
19,330,district,uttardinajpur,total,3007134,1551066,1456068,485157,1489667,1517467,1075626,799627,275999,1931508
19,330,district,uttardinajpur,rural,2644906,1362469,1282437,442278,1233289,1411617,955823,701368,254455,1689083
19,330,district,uttardinajpur,urban,362228,188597,173631,42879,256378,105850,119803,98259,21544,242425
5,56,district,uttarkashi,total,330086,168597,161489,46307,215126,114960,157276,84265,73011,172810
5,56,district,uttarkashi,rural,305781,155375,150406,43663,195909,109872,149067,77991,71076,156714
5,56,district,uttarkashi,urban,24305,13222,11083,2644,19217,5088,8209,6274,1935,16096
9,0,state,uttarpradesh,total,199812341,104480510,95331831,30791331,114397555,85414786,65814715,49846762,15967953,133997626
9,0,state,uttarpradesh,rural,155317278,80992995,74324283,25040583,85284680,70032598,51950980,38352879,13598101,103366298
9,0,state,uttarpradesh,urban,44495063,23487515,21007548,5750748,29112875,15382188,13863735,11493883,2369852,30631328
24,486,district,vadodara,total,4165626,2153736,2011890,499811,2893080,1272546,1693473,1233312,460161,2472153
24,486,district,vadodara,rural,2099855,1077943,1021912,288758,1228608,871247,992440,644916,347524,1107415
24,486,district,vadodara,urban,2065771,1075793,989978,211053,1664472,401299,701033,588396,112637,1364738
10,220,district,vaishali,total,3495021,1844535,1650486,601893,1926740,1568281,1060344,858648,201696,2434677
10,220,district,vaishali,rural,3261942,1721221,1540721,566520,1779987,1481955,996814,803019,193795,2265128
10,220,district,vaishali,urban,233079,123314,109765,35373,146753,86326,63530,55629,7901,169549
24,491,district,valsad,total,1705678,887222,818456,215439,1170657,535021,743245,516188,227057,962433
24,491,district,valsad,rural,1070177,542644,527533,142109,671205,398972,493434,311849,181585,576743
24,491,district,valsad,urban,635501,344578,290923,73330,499452,136049,249811,204339,45472,385690
9,197,district,varanasi,total,3676841,1921857,1754984,497151,2403903,1272938,1220708,921234,299474,2456133
9,197,district,varanasi,rural,2079790,1076526,1003264,306426,1301232,778558,695418,496488,198930,1384372
9,197,district,varanasi,urban,1597051,845331,751720,190725,1102671,494380,525290,424746,100544,1071761
33,605,district,vellore,total,3936331,1961688,1974643,432550,2773928,1162403,1689330,1123874,565456,2247001
33,605,district,vellore,rural,2234344,1117101,1117243,249146,1482931,751413,1050425,652671,397754,1183919
33,605,district,vellore,urban,1701987,844587,857400,183404,1290997,410990,638905,471203,167702,1063082
23,443,district,vidisha,total,1458875,769568,689307,235391,862918,595957,550402,401583,148819,908473
23,443,district,vidisha,rural,1119257,591962,527295,188854,624193,495064,442171,313012,129159,677086
23,443,district,vidisha,urban,339618,177606,162012,46537,238725,100893,108231,88571,19660,231387
33,607,district,viluppuram,total,3458873,1740819,1718054,404106,2195776,1263097,1703249,1017383,685866,1755624
33,607,district,viluppuram,rural,2939785,1481475,1458310,347396,1803943,1135842,1512953,874316,638637,1426832
33,607,district,viluppuram,urban,519088,259344,259744,56710,391833,127255,190296,143067,47229,328792
33,625,district,virudhunagar,total,1942288,967709,974579,197134,1398788,543500,950158,579111,371047,992130
33,625,district,virudhunagar,rural,962062,480360,481702,101250,653219,308843,512015,287096,224919,450047
33,625,district,virudhunagar,urban,980226,487349,492877,95884,745569,234657,438143,292015,146128,542083
28,544,district,visakhapatnam,total,4290589,2138910,2151679,452213,2568249,1722340,1889879,1239064,650815,2400710
28,544,district,visakhapatnam,rural,2254667,1113234,1141433,258267,1072167,1182500,1164590,666703,497887,1090077
28,544,district,visakhapatnam,urban,2035922,1025676,1010246,193946,1496082,539840,725289,572361,152928,1310633
28,543,district,vizianagaram,total,2344474,1161477,1182997,241657,1238388,1106086,1157962,679289,478673,1186512
28,543,district,vizianagaram,rural,1853563,920428,933135,194859,891838,961725,981456,545077,436379,872107
28,543,district,vizianagaram,urban,490911,241049,249862,46798,346550,144361,176506,134212,42294,314405
28,540,district,warangal,total,3512576,1759281,1753295,341168,2065023,1447553,1705655,960926,744729,1806921
28,540,district,warangal,rural,2520243,1260594,1259649,246805,1337408,1182835,1351610,705002,646608,1168633
28,540,district,warangal,urban,992333,498687,493646,94363,727615,264718,354045,255924,98121,638288
27,504,district,wardha,total,1300774,668385,632389,128901,1019458,281316,608235,392316,215919,692539
27,504,district,wardha,rural,877474,451874,425600,88224,665082,212392,460778,277083,183695,416696
27,504,district,wardha,urban,423300,216511,206789,40677,354376,68924,147457,115233,32224,275843
27,502,district,washim,total,1197160,620302,576858,152190,869917,327243,569792,340353,229439,627368
27,502,district,washim,rural,985747,511727,474020,125583,706756,278991,500572,285189,215383,485175
27,502,district,washim,urban,211413,108575,102838,26607,163161,48252,69220,55164,14056,142193
32,590,district,wayanad,total,817420,401684,415736,92324,645585,171835,340077,228639,111438,477343
32,590,district,wayanad,rural,785840,386283,399557,88727,620070,165770,328034,220111,107923,457806
32,590,district,wayanad,urban,31580,15401,16179,3597,25515,6065,12043,8528,3515,19537
7,96,district,west,total,2543243,1356240,1187003,288421,1961179,582064,874320,732598,141722,1668923
7,96,district,west,rural,6420,3355,3065,931,4448,1972,1846,1619,227,4574
7,96,district,west,urban,2536823,1352885,1183938,287490,1956731,580092,872474,730979,141495,1664349
19,0,state,westbengal,total,91276115,46809027,44467088,10581466,61538281,29737834,34756355,26716047,8040308,56519760
19,0,state,westbengal,rural,62183113,31844945,30338168,7820710,39213779,22969334,24082481,18211180,5871301,38100632
19,0,state,westbengal,urban,29093002,14964082,14128920,2760756,22324502,6768500,10673874,8504867,2169007,18419128
11,242,district,westdistrict,total,136435,70238,66197,15706,93432,43003,70348,40772,29576,66087
11,242,district,westdistrict,rural,131187,67528,63659,15167,89225,41962,68418,39340,29078,62769
11,242,district,westdistrict,urban,5248,2710,2538,539,4207,1041,1930,1432,498,3318
17,293,district,westgarohills,total,643291,324159,319132,112514,358702,284589,255693,151914,103779,387598
17,293,district,westgarohills,rural,568433,286923,281510,103630,298448,269985,232255,135964,96291,336178
17,293,district,westgarohills,urban,74858,37236,37622,8884,60254,14604,23438,15950,7488,51420
28,546,district,westgodavari,total,3936966,1964918,1972048,382887,2652389,1284577,1773112,1199338,573774,2163854
28,546,district,westgodavari,rural,3128189,1567013,1561176,309636,2035630,1092559,1485361,974645,510716,1642828
28,546,district,westgodavari,urban,808777,397905,410872,73251,616759,192018,287751,224693,63058,521026
12,246,district,westkameng,total,83947,46155,37792,11643,48492,35455,42493,28313,14180,41454
12,246,district,westkameng,rural,68015,37809,30206,9812,37463,30552,35842,23849,11993,32173
12,246,district,westkameng,urban,15932,8346,7586,1831,11029,4903,6651,4464,2187,9281
17,296,district,westkhasihills,total,383461,193715,189746,87214,230678,152783,163345,89694,73651,220116
